Budget,Platform,AudienceSize,Duration,EstimatedRevenue,Success
134,TikTok,94562,16,4136.17,1
3252,TikTok,62009,14,8958.21,1
2055,TikTok,12929,6,2954.92,0
1685,LinkedIn,62762,22,5537.09,1
4043,Facebook,80099,17,5236.65,0
3173,Facebook,29546,33,7977.81,1
1121,Instagram,79424,28,3413.48,1
3561,Google,38338,42,8728.82,1
2713,Instagram,35283,16,3765.83,0
3943,Facebook,83494,33,8649.3,1
1600,LinkedIn,79170,26,6242.51,1
4898,Instagram,85787,40,7026.81,0
261,Google,47566,5,1491.49,1
4397,Instagram,86464,44,14141.52,1
2081,TikTok,82991,38,4865.03,1
1095,Google,93680,38,4033.53,1
3442,TikTok,29013,37,6333.41,1
4651,LinkedIn,53132,8,8991.45,1
3898,Facebook,88412,42,5998.37,1
1375,Instagram,93498,34,3971.21,1
1116,Instagram,29084,24,3011.9,1
437,TikTok,22143,30,1513.24,1
978,TikTok,92627,19,4464.84,1
1176,Facebook,15179,11,2171.11,1
4987,Instagram,99343,11,12266.08,1
4093,Facebook,59726,33,6628.91,1
4959,TikTok,11222,27,7960.84,1
479,TikTok,60965,38,3531.51,1
592,Google,65068,24,3292.72,1
2162,TikTok,24949,19,5736.8,1
3984,TikTok,17116,37,9165.91,1
164,Facebook,52052,21,1306.74,1
2668,Google,52369,24,6274.23,1
2127,Google,49817,17,6591.39,1
2795,Instagram,84203,28,9297.45,1
1595,LinkedIn,75311,41,4303.79,1
491,Instagram,30655,11,1798.9,1
4614,Instagram,58802,12,7040.71,1
4574,Instagram,48632,27,10230.29,1
3661,Google,15193,18,3571.52,0
2378,Facebook,81212,8,8411.56,1
3199,TikTok,31776,25,7494.84,1
300,Google,44225,14,1659.56,1
4975,TikTok,61010,26,10455.45,1
3204,TikTok,83735,34,5827.09,1
4698,LinkedIn,66451,34,5803.74,0
2554,Instagram,49812,20,5275.28,1
3745,LinkedIn,81602,15,8490.46,1
904,Instagram,19895,26,1207.71,0
2831,Google,66782,33,7472.49,1
2873,TikTok,22209,29,5828.89,1
1670,LinkedIn,83336,18,4177.89,1
2790,Google,62807,18,4547.13,1
3940,Google,24086,6,4276.52,0
1128,Instagram,86637,17,5218.98,1
602,TikTok,83027,7,3380.85,1
4593,Instagram,28207,34,9704.42,1
970,Instagram,21897,22,2596.79,1
4588,Google,64083,40,8075.17,1
306,Instagram,96028,25,4761.24,1
1584,Facebook,67957,23,4093.91,1
963,TikTok,98551,20,5680.17,1
2890,Instagram,79506,32,5759.93,1
663,Instagram,8283,8,1488.17,1
4291,LinkedIn,95024,19,12024.06,1
1857,TikTok,82481,5,5182.06,1
1778,TikTok,1255,20,1522.26,0
3342,Instagram,77555,24,9683.8,1
4736,Facebook,16487,37,11103.1,1
1159,LinkedIn,20346,21,2403.18,1
1822,Facebook,36050,9,5908.74,1
3414,Instagram,9744,9,2901.63,0
3257,TikTok,25756,43,7506.02,1
2725,TikTok,62596,17,5819.4,1
2829,Facebook,84397,40,6399.68,1
1697,Google,26146,34,4601.36,1
3160,Instagram,56032,8,5470.53,1
2793,TikTok,43687,27,8231.25,1
4991,Google,47103,25,6872.1,0
3727,TikTok,22976,25,4573.95,0
1463,TikTok,63863,10,5128.09,1
2081,Google,1591,28,2124.48,0
1763,Facebook,7277,35,2728.3,1
1629,Instagram,62860,23,5138.72,1
2138,Google,3260,42,4743.11,1
3402,Google,66883,16,11415.81,1
2337,TikTok,25741,18,5825.23,1
1406,Google,38211,16,4222.42,1
4129,Instagram,42542,19,11767.81,1
2775,Facebook,7869,23,5125.04,1
1382,Facebook,94618,32,6195.11,1
809,Facebook,88616,44,5170.56,1
4844,Instagram,65732,45,8383.23,1
4513,TikTok,95515,9,8475.02,1
3848,Instagram,20422,9,9118.58,1
4879,Google,36613,10,12727.91,1
763,LinkedIn,58016,27,2660.72,1
2098,LinkedIn,61110,7,4675.99,1
3545,LinkedIn,89529,41,7026.51,1
3843,Facebook,78922,37,7450.4,1
1595,Instagram,35033,25,3942.64,1
3404,Instagram,46213,24,7651.93,1
3863,Facebook,62993,5,5547.9,0
1953,Google,13938,43,3230.65,1
4759,LinkedIn,77695,21,12508.89,1
1391,LinkedIn,3274,33,2971.59,1
3681,Facebook,85390,12,7051.88,1
3557,LinkedIn,32815,30,7308.59,1
1736,TikTok,77018,32,2887.58,1
3796,Instagram,19961,38,9683.65,1
3099,LinkedIn,21044,30,4158.59,0
3252,LinkedIn,22975,17,8026.58,1
798,TikTok,15706,41,2391.26,1
2260,Google,6974,17,4115.58,1
4197,Google,77464,42,7388.87,1
4837,TikTok,22213,29,11419.78,1
954,Google,2950,27,1056.42,0
3574,Facebook,86013,26,7657.3,1
1807,TikTok,11411,25,2315.73,0
2877,Instagram,88231,34,7301.19,1
1833,Instagram,47156,15,2931.36,1
3610,Instagram,63744,8,10708.79,1
302,LinkedIn,18771,37,795.88,1
3355,TikTok,70810,16,10023.68,1
4318,TikTok,36053,13,5549.99,0
4596,Google,53076,36,7051.12,1
866,TikTok,8045,15,1169.4,0
4489,TikTok,58623,41,13753.23,1
2427,Google,30714,28,3327.67,0
3031,TikTok,35386,11,7048.5,1
297,TikTok,9562,12,521.93,1
2030,Facebook,56048,37,5568.75,1
3682,Google,94295,29,8318.57,1
708,Facebook,13026,5,1414.71,1
3372,LinkedIn,32589,7,7798.92,1
1247,Google,98274,44,2630.33,1
4382,TikTok,27844,32,8125.82,1
3497,TikTok,24447,37,4747.88,0
2611,Facebook,91415,5,7530.63,1
1894,Facebook,78502,42,6541.59,1
759,LinkedIn,84268,31,3891.74,1
2911,LinkedIn,55708,42,6978.83,1
1469,TikTok,64925,39,2459.94,1
2086,Instagram,71825,14,4931.99,1
246,LinkedIn,52574,16,2447.03,1
3319,TikTok,86548,14,10810.87,1
3011,LinkedIn,19812,38,3740.75,0
1834,Google,56309,28,4660.46,1
1943,Facebook,65230,32,5831.56,1
588,TikTok,42628,26,1661.79,1
3076,LinkedIn,41581,20,5972.46,1
2059,Facebook,47628,17,3046.42,0
2485,Instagram,89628,40,5819.62,1
3019,LinkedIn,26105,40,7165.04,1
4836,TikTok,80830,27,9041.68,1
1902,Google,70157,18,2932.99,1
4161,Facebook,33442,36,6289.58,1
3469,Facebook,88235,7,7731.22,1
362,Google,3347,31,564.92,1
723,TikTok,96022,23,2230.7,1
1116,Instagram,48650,26,2459.86,1
3743,Google,18110,5,8202.21,1
2149,Instagram,63170,9,4182.34,1
3823,TikTok,5923,37,8223.85,1
4648,LinkedIn,52801,23,12143.52,1
3208,LinkedIn,63771,40,4429.96,0
4190,TikTok,82147,10,7994.7,1
2156,Instagram,49135,19,4627.85,1
3270,Google,20199,40,4583.32,0
1782,TikTok,10066,37,4033.39,1
2355,TikTok,53136,28,4580.69,1
1254,LinkedIn,93290,31,4968.92,1
4599,Google,37575,15,4765.12,0
3291,LinkedIn,90796,27,8030.19,1
1796,Instagram,47733,37,4355.38,1
4091,Instagram,17991,45,6263.61,1
4823,Facebook,23553,33,5587.78,0
4782,TikTok,90710,35,12386.91,1
1748,Google,88493,5,3596.26,1
1545,Google,1634,38,3443.14,1
4299,LinkedIn,96417,22,8483.59,1
4023,LinkedIn,13771,22,5154.52,0
353,Google,19298,10,1153.99,1
3283,LinkedIn,80876,44,10654.8,1
2657,Facebook,99892,5,8909.63,1
198,TikTok,36999,34,2029.93,1
2300,Facebook,72887,8,4821.18,1
3061,Instagram,60648,36,9020.21,1
4533,Google,63668,14,11645.16,1
3877,Facebook,70374,9,7924.5,1
2969,Facebook,68509,13,7188.79,1
3334,LinkedIn,76783,9,7740.52,1
3891,LinkedIn,45440,15,5419.61,0
1056,LinkedIn,32655,39,2785.81,1
4167,Instagram,44039,31,9064.9,1
260,Facebook,56255,8,2073.01,1
4593,TikTok,73219,14,13886.8,1
1400,LinkedIn,55989,43,3084.8,1
4087,Instagram,12244,37,4328.28,0
1627,Instagram,95594,42,6675.31,1
1318,LinkedIn,59595,12,3382.5,1
4596,Google,40551,28,6335.82,0
4835,Facebook,64230,43,9224.24,1
3204,LinkedIn,29371,37,4047.07,0
2835,TikTok,70358,45,5069.63,1
4655,Facebook,29878,23,12176.1,1
1054,Instagram,37157,6,3708.2,1
4665,TikTok,6914,15,8280.51,1
3546,Facebook,84700,39,9586.11,1
1145,TikTok,28180,21,3173.6,1
1793,Instagram,4688,7,3703.8,1
3536,LinkedIn,81219,26,7842.24,1
662,TikTok,79616,39,2434.32,1
2585,LinkedIn,97489,25,7184.02,1
3454,Instagram,10916,29,4991.23,0
325,Instagram,57363,43,2863.46,1
4993,TikTok,96213,6,11558.86,1
1059,TikTok,28360,5,1596.28,1
4648,Instagram,38805,11,7535.05,1
3167,TikTok,14453,24,4457.35,0
915,TikTok,23703,10,1872.32,1
4854,TikTok,60021,40,13553.29,1
4742,TikTok,75176,25,10593.85,1
3220,Facebook,95799,39,9105.64,1
116,Instagram,99385,40,1857.92,1
1343,Instagram,82614,12,5093.02,1
2305,Google,89919,8,6064.92,1
2624,LinkedIn,82072,20,6656.81,1
1169,Google,8410,7,2112.85,1
3544,TikTok,82462,11,8102.01,1
2665,TikTok,49268,6,7435.64,1
1160,Facebook,35248,5,3611.58,1
2427,Facebook,32159,5,3005.0,0
3520,Facebook,43039,42,4043.82,0
401,Facebook,48800,11,2791.01,1
4376,Facebook,41761,28,4644.59,0
706,Facebook,95626,9,5216.24,1
3270,Facebook,87103,25,6089.77,1
799,Facebook,44663,32,1754.57,1
1239,Facebook,81903,22,5816.04,1
290,Instagram,41412,28,1658.65,1
2400,Facebook,36367,36,7142.41,1
1080,LinkedIn,6813,37,1689.89,1
3075,Facebook,60894,14,5149.79,1
1284,TikTok,52444,13,4283.36,1
3427,TikTok,35269,37,4522.63,0
3494,Facebook,62748,37,10441.13,1
227,Facebook,42190,11,1873.94,1
2165,TikTok,41318,8,5791.67,1
1916,LinkedIn,38018,32,4550.39,1
669,Google,40759,27,1958.9,1
1995,Instagram,17498,36,4142.45,1
2833,TikTok,26989,20,8072.3,1
3963,Facebook,26568,14,7735.77,1
4821,Instagram,67577,18,11528.64,1
4114,Facebook,31099,43,8979.17,1
3001,Google,90900,40,9497.82,1
1786,Google,41639,38,5543.08,1
3109,TikTok,24482,28,4305.23,0
254,Instagram,70212,22,2870.44,1
2637,Instagram,56261,20,4967.79,1
1509,Google,88317,45,3311.87,1
4157,Facebook,31048,41,10028.81,1
884,TikTok,4065,45,929.62,0
3275,LinkedIn,3036,29,5676.78,1
4441,Google,36814,12,10257.39,1
2906,Google,60694,28,8737.77,1
637,TikTok,17924,24,1405.08,1
1941,Facebook,61204,34,4173.78,1
2555,Instagram,33844,24,7071.27,1
624,Google,82943,22,2186.74,1
3050,TikTok,22518,8,7416.52,1
4231,TikTok,18059,40,4227.48,0
4880,TikTok,24052,10,5783.99,0
4215,Instagram,70803,7,11862.33,1
2468,Google,72524,22,7513.14,1
3947,TikTok,94510,44,7302.21,1
4595,Instagram,90572,22,12727.37,1
2801,Facebook,9680,27,4888.64,1
1071,LinkedIn,68021,39,3151.77,1
1266,Google,81249,10,4209.7,1
2874,Instagram,21043,30,6976.79,1
2082,LinkedIn,3419,25,4957.89,1
953,LinkedIn,57892,28,3935.16,1
4246,Instagram,18140,19,8679.18,1
3836,Instagram,44484,31,6790.22,1
3869,Instagram,64869,36,6247.84,1
674,TikTok,46210,16,1907.29,1
3361,Facebook,58600,9,9017.19,1
1248,TikTok,79497,11,5217.95,1
1815,LinkedIn,7487,26,2486.25,0
4877,LinkedIn,61692,31,9956.43,1
3954,LinkedIn,63112,19,5807.99,0
2591,Instagram,32110,43,6559.44,1
2760,Google,17360,39,3024.05,0
3224,TikTok,50410,30,7911.43,1
3151,Google,91418,27,6152.16,1
104,Facebook,84038,17,1748.77,1
4969,Facebook,74167,30,13840.14,1
976,TikTok,4017,7,1949.18,1
1091,LinkedIn,87261,33,3552.99,1
4242,Facebook,61124,6,7942.27,1
4464,Google,91298,32,9549.33,1
4565,Google,51949,27,7635.73,1
735,Instagram,59268,40,4065.16,1
1793,LinkedIn,67320,10,4290.97,1
1782,Instagram,94556,15,4666.12,1
4852,TikTok,82301,42,10441.65,1
219,Facebook,32127,38,1780.72,1
930,Instagram,4196,21,860.93,0
3775,Instagram,76088,7,10751.77,1
1469,TikTok,42300,38,3128.73,1
840,Google,50714,26,3246.2,1
216,Google,32921,33,935.07,1
2938,TikTok,5746,33,2815.75,0
1250,Google,69535,9,4191.5,1
2031,TikTok,66350,14,6633.4,1
1112,Google,51345,14,4025.31,1
1764,TikTok,50220,13,6811.72,1
1181,Google,82131,25,4610.6,1
4829,Instagram,23063,17,10490.23,1
612,Instagram,72736,14,1372.36,1
2949,Google,89913,42,5406.72,1
659,TikTok,79946,15,3226.55,1
3772,Instagram,46971,8,8594.65,1
4683,Facebook,4598,35,6577.31,0
3443,Google,11564,38,6753.29,1
4170,Facebook,97434,39,11979.09,1
4899,Facebook,50725,43,6388.12,0
1570,LinkedIn,87134,43,5141.18,1
680,Facebook,60940,37,2983.89,1
2394,Facebook,63085,12,5542.49,1
3247,LinkedIn,18862,36,7540.5,1
4349,LinkedIn,11265,37,8794.89,1
1779,LinkedIn,10705,12,2614.43,0
3606,TikTok,56279,18,5710.91,1
2844,LinkedIn,63471,38,7195.66,1
3456,TikTok,92080,12,5851.6,1
4145,Google,80834,11,12751.0,1
1343,TikTok,63979,17,4396.14,1
3218,Google,56828,25,9322.27,1
2241,LinkedIn,99206,36,7873.65,1
3159,LinkedIn,47104,15,5037.7,1
4648,Google,41934,18,6183.88,0
3059,Instagram,7050,15,6796.24,1
2365,TikTok,44952,6,4420.34,1
2579,Facebook,87570,38,8114.9,1
4746,LinkedIn,9484,21,4966.96,0
1735,TikTok,63648,18,3828.75,1
1857,TikTok,60945,29,3059.8,1
4552,LinkedIn,54678,31,6476.87,0
2170,Google,32323,12,5536.05,1
2949,LinkedIn,87332,21,10233.83,1
3351,TikTok,95605,9,6927.09,1
3830,Instagram,88363,16,10041.89,1
2589,Google,36361,42,5053.8,1
1731,LinkedIn,11315,22,2468.89,0
2916,Facebook,48968,30,5872.64,1
1115,LinkedIn,27519,35,3624.69,1
1448,TikTok,10107,41,1951.71,0
4711,TikTok,56781,10,11206.35,1
3187,Facebook,4869,45,6507.65,1
2939,Google,81983,19,6992.33,1
435,TikTok,28370,30,1658.11,1
4692,Google,63695,16,7660.7,1
995,Google,61422,45,4782.64,1
3646,LinkedIn,8971,18,6266.94,1
951,Google,97805,5,3949.44,1
1787,TikTok,26651,21,4101.46,1
2031,TikTok,57974,37,4354.91,1
3846,Instagram,24446,33,8820.28,1
2527,Google,39108,35,3634.67,0
1668,Instagram,76179,12,7182.67,1
4100,LinkedIn,4823,34,6345.69,1
2838,Instagram,14454,17,6820.11,1
3598,Google,4932,20,6647.69,1
4013,TikTok,11220,6,5822.84,0
1166,LinkedIn,75090,22,3215.06,1
4480,Google,68965,39,11218.12,1
2544,LinkedIn,29208,23,5466.61,1
4207,Facebook,73980,17,13370.63,1
3473,Google,11510,8,5283.74,1
4069,Facebook,45045,23,8610.86,1
2646,Instagram,11537,29,5045.89,1
853,Google,73683,42,2986.38,1
2182,Facebook,70134,35,7235.58,1
2874,TikTok,73254,40,4360.58,1
2996,Instagram,14782,8,5882.71,1
4285,Google,66587,43,9538.26,1
875,Google,83238,11,4912.24,1
1725,TikTok,76720,20,4610.2,1
3169,TikTok,79004,9,9228.41,1
517,Facebook,23072,27,1553.47,1
214,Facebook,82015,40,2269.04,1
716,Facebook,95003,36,3229.13,1
4074,LinkedIn,89938,28,7739.41,1
3367,Instagram,73746,29,6160.77,1
925,Google,46702,32,2317.86,1
1616,Instagram,7057,23,2015.57,0
3246,TikTok,31916,11,6302.97,1
512,Instagram,28268,45,1316.81,1
828,Instagram,44978,21,3402.55,1
3448,Facebook,24259,6,5538.09,1
2908,TikTok,54583,20,5558.88,1
775,Instagram,80400,43,3196.02,1
3565,Google,35293,22,4196.24,0
2604,Facebook,8043,43,5745.49,1
3067,Instagram,51430,5,8153.67,1
2886,TikTok,39893,7,6644.37,1
1222,Google,41642,25,3552.07,1
4179,TikTok,79065,34,10738.43,1
1671,TikTok,31868,15,3922.28,1
2243,TikTok,27309,26,3109.23,0
1787,LinkedIn,24284,29,2448.46,0
4232,Google,70000,7,11065.62,1
3951,TikTok,85179,34,11558.32,1
3540,LinkedIn,63107,28,5820.97,1
3866,Facebook,66049,40,11640.37,1
2426,LinkedIn,30265,27,5586.79,1
3014,Facebook,82490,12,7201.07,1
4052,LinkedIn,24880,8,8342.87,1
695,TikTok,85579,43,2929.62,1
828,LinkedIn,1255,35,1820.52,1
1465,LinkedIn,2502,33,2867.01,1
4592,TikTok,71192,40,8293.47,1
798,Facebook,66424,17,3953.42,1
495,TikTok,76838,45,2856.02,1
4271,Google,71966,13,12561.01,1
4460,LinkedIn,42366,25,5257.27,0
2602,Google,28425,7,6510.09,1
1919,TikTok,53328,29,4136.24,1
817,TikTok,68396,29,2381.2,1
2882,Instagram,72694,16,7871.97,1
3677,Google,6806,33,8529.45,1
243,Instagram,87274,15,2575.34,1
3240,Google,18106,15,4312.87,0
4591,Instagram,57731,30,6879.78,0
3038,Instagram,76010,18,10049.2,1
3736,Google,83533,20,9291.53,1
3322,TikTok,33599,14,6576.69,1
1267,Facebook,72326,35,6144.87,1
2716,TikTok,76706,35,8597.61,1
1162,Facebook,10004,40,1647.84,0
2256,Google,52364,14,5340.92,1
3082,LinkedIn,26792,30,3856.24,0
3394,TikTok,96752,24,8958.48,1
4829,Instagram,65912,13,13328.66,1
1256,TikTok,55645,19,3595.4,1
832,Google,8232,13,1996.53,1
4430,LinkedIn,79210,11,8456.87,1
4946,LinkedIn,55766,30,8469.22,1
1053,TikTok,82588,28,5408.04,1
2639,TikTok,49542,16,3838.17,0
3424,TikTok,6913,24,8366.15,1
3401,Google,94449,18,9688.01,1
1642,Facebook,11567,26,4234.91,1
1291,Facebook,39379,20,3561.94,1
3093,Instagram,75968,33,8778.6,1
2781,Google,1319,36,5050.43,1
1317,LinkedIn,91005,23,3510.02,1
1640,Instagram,93026,39,6584.78,1
3336,LinkedIn,87120,36,7902.85,1
2486,LinkedIn,5791,24,2144.31,0
3819,TikTok,98272,44,5183.23,0
1488,LinkedIn,1329,24,2922.36,1
1956,LinkedIn,75387,12,6636.01,1
1465,Google,62032,39,6101.5,1
599,TikTok,45078,17,1651.77,1
1780,TikTok,89662,45,6004.54,1
610,Instagram,22300,10,2180.01,1
4412,TikTok,76700,20,10608.12,1
1424,Facebook,51945,9,3385.56,1
1255,Google,56609,38,3168.4,1
1927,Instagram,61562,10,5189.27,1
3241,Facebook,91045,37,7255.15,1
3586,LinkedIn,62901,19,5942.22,1
1910,Facebook,6703,19,4344.07,1
3023,Instagram,93645,18,9211.68,1
2314,TikTok,64115,43,6341.19,1
4286,Google,89090,9,7912.82,1
813,Instagram,28676,30,2452.46,1
3702,Facebook,62710,21,7586.97,1
4234,Facebook,61077,20,9702.9,1
3622,Instagram,90340,39,9871.68,1
4368,Instagram,46440,42,6920.8,1
4848,Instagram,37923,27,12909.88,1
4949,TikTok,30802,17,10880.51,1
1343,Instagram,91331,37,2491.44,1
3809,LinkedIn,63904,33,6311.93,1
1181,Google,61162,38,3728.44,1
555,Google,66169,38,3921.73,1
994,LinkedIn,69147,31,2722.48,1
1484,Facebook,23075,19,4051.02,1
2058,Facebook,83015,13,6057.27,1
3172,Facebook,75716,30,8575.87,1
2096,Facebook,10304,7,2287.94,0
4385,TikTok,60622,40,10030.29,1
604,LinkedIn,55215,9,2838.26,1
1314,Google,81146,24,4416.03,1
1631,LinkedIn,74973,24,3588.79,1
3540,Google,13521,9,3632.94,0
923,Facebook,25028,14,2147.24,1
1028,TikTok,40328,20,3473.17,1
233,Instagram,28301,29,1046.53,1
2205,Instagram,39015,29,4027.99,1
3727,Facebook,88276,34,10924.1,1
4880,Facebook,37845,18,4483.49,0
1952,LinkedIn,87818,26,2979.86,1
4275,TikTok,77394,32,11280.94,1
3033,TikTok,45159,34,7570.31,1
3384,LinkedIn,44714,23,8524.71,1
4398,TikTok,81722,42,7912.47,1
2911,TikTok,97730,24,7745.8,1
1350,Instagram,26230,39,2825.7,1
3612,TikTok,93554,26,12160.0,1
1356,Facebook,50262,19,4812.77,1
3476,Instagram,91201,15,6109.15,1
3586,Facebook,42722,38,6876.83,1
3684,Facebook,47359,28,8852.97,1
1496,LinkedIn,63796,10,4444.83,1
3737,TikTok,41159,21,4258.76,0
3430,TikTok,88052,32,4934.25,0
2803,TikTok,91209,35,10368.13,1
570,TikTok,6239,40,1643.43,1
1453,Instagram,92951,13,4633.09,1
2883,Google,51886,14,4795.58,1
2931,Facebook,28195,25,4436.31,1
457,Google,95859,38,2949.37,1
3119,Google,97299,35,7341.29,1
767,Google,35674,33,1754.7,1
4568,Instagram,19105,15,9973.56,1
1245,Google,30739,37,2865.44,1
4285,Instagram,32969,5,9977.51,1
3819,LinkedIn,15497,25,8224.29,1
2845,LinkedIn,2816,27,3011.75,0
639,LinkedIn,93019,13,2957.09,1
2879,Instagram,60254,5,8860.85,1
4236,Instagram,88695,25,11256.54,1
4935,Facebook,70385,26,10603.86,1
3875,Google,88148,8,7198.12,1
2608,TikTok,34826,5,7366.91,1
2879,TikTok,64365,14,5738.92,1
1024,Google,85242,19,2266.45,1
3056,TikTok,51100,40,9572.46,1
1681,TikTok,91099,33,6701.94,1
3424,TikTok,5359,9,6911.38,1
4585,Instagram,97205,33,5575.37,0
355,Instagram,13809,31,1173.82,1
4904,Instagram,65450,29,11359.62,1
1938,Google,39428,20,4678.72,1
2044,LinkedIn,95990,20,7769.88,1
109,TikTok,73790,40,1314.87,1
2971,Facebook,91321,29,6441.22,1
897,Instagram,3093,45,930.41,0
1115,Facebook,45498,5,3795.81,1
1924,TikTok,41985,9,4360.34,1
4569,LinkedIn,33009,45,10521.13,1
3236,Facebook,83094,24,9066.85,1
2293,TikTok,18718,9,2645.5,0
323,TikTok,17705,40,1588.73,1
4258,Instagram,88618,33,9128.74,1
4025,LinkedIn,63598,38,7269.07,1
4884,TikTok,78878,22,12634.74,1
4100,LinkedIn,13239,6,5272.93,0
1733,Instagram,47622,20,4324.63,1
2252,Facebook,47665,33,4583.03,1
610,Google,33274,37,1998.53,1
484,Google,12419,20,1051.15,1
504,Google,16003,39,1276.94,1
4713,LinkedIn,31866,21,7613.37,1
4671,Google,22988,8,7599.26,1
2100,Facebook,56894,8,7078.98,1
2856,TikTok,91444,29,6771.63,1
1768,LinkedIn,6674,37,3414.61,1
1560,Facebook,71538,18,5097.52,1
3736,LinkedIn,94103,28,11577.03,1
2824,LinkedIn,67446,15,7475.39,1
4909,LinkedIn,30072,29,6673.97,0
4278,Instagram,34717,32,4882.05,0
2148,TikTok,88345,11,7005.84,1
4246,Google,27651,40,10216.31,1
4880,Instagram,45291,14,7934.77,1
816,TikTok,64350,40,3769.02,1
4644,Google,83020,35,13954.31,1
4683,Instagram,5646,23,10091.85,1
1923,Instagram,40713,22,5663.08,1
2181,Facebook,68936,10,4653.43,1
3519,Instagram,45331,32,4778.11,0
1674,LinkedIn,23185,11,3383.69,1
349,Instagram,85263,42,1791.41,1
773,LinkedIn,99656,16,6015.15,1
4633,TikTok,53107,45,6456.98,0
2265,TikTok,67554,38,4254.32,1
870,LinkedIn,18563,29,1135.32,0
4062,Facebook,71729,21,8503.52,1
4463,Facebook,16701,37,8003.03,1
2084,TikTok,70072,27,6080.84,1
1177,Instagram,49217,13,4036.24,1
335,TikTok,45610,10,2769.67,1
488,TikTok,85422,6,4511.98,1
3137,LinkedIn,51131,42,7895.77,1
4958,Facebook,30410,13,12080.43,1
1948,LinkedIn,59715,7,3840.78,1
4819,TikTok,39665,20,6627.1,0
2914,Google,16957,29,6949.75,1
3474,Instagram,49127,28,6001.94,1
3378,TikTok,64589,33,8311.12,1
1352,LinkedIn,47008,44,4642.64,1
4081,Google,62920,30,6113.69,0
4773,Google,33875,42,10788.75,1
2222,TikTok,2626,39,2667.86,0
4630,Facebook,91815,27,8249.38,1
2250,Google,64822,8,6408.95,1
4959,Instagram,72765,18,8584.31,1
1429,LinkedIn,73413,43,5629.93,1
1458,LinkedIn,34642,11,2533.57,1
2582,LinkedIn,39311,12,3871.99,0
4642,TikTok,33356,23,5511.08,0
2117,LinkedIn,4809,6,4924.38,1
1431,LinkedIn,44371,5,3970.23,1
4444,Instagram,35875,42,7082.78,1
4361,Facebook,10465,17,7600.15,1
1458,TikTok,67095,28,4488.85,1
4737,TikTok,74844,36,5008.59,0
4954,LinkedIn,66250,34,13946.08,1
3277,Instagram,87889,10,11527.57,1
2228,Google,16250,42,3572.81,1
2280,LinkedIn,47023,37,5343.6,1
4992,LinkedIn,47624,27,13143.23,1
237,TikTok,17427,14,617.99,1
3572,TikTok,34276,19,9139.77,1
2932,LinkedIn,72643,27,3529.25,0
3679,TikTok,80012,40,7835.08,1
3131,Instagram,4439,5,7761.44,1
4264,Google,86848,12,6462.34,1
2693,Google,88331,7,5879.32,1
4400,Google,79672,18,10960.37,1
3918,LinkedIn,80703,21,13146.5,1
4238,LinkedIn,18300,38,5544.94,0
3923,LinkedIn,61289,10,10239.25,1
4142,Instagram,18182,9,8868.53,1
2006,Google,71507,45,7073.45,1
860,TikTok,51912,44,3051.53,1
3545,TikTok,27909,33,7283.28,1
999,Facebook,20659,39,3161.13,1
4555,Facebook,32403,22,6084.02,0
3047,TikTok,34586,44,9050.39,1
1819,Google,11360,34,2159.88,0
380,LinkedIn,22424,19,1034.42,1
3366,TikTok,99035,19,8111.73,1
1987,TikTok,49791,20,3755.22,1
3366,Facebook,4065,37,7219.87,1
